company,ticker,fiscal_year,fiscal_year_end,role,metric,value_usd_millions,source
Nvidia,NVDA,2022,2022-01-30,demand,Data Center segment revenue,10600,Nvidia FY2022 proxy statement (DEF 14A)
Nvidia,NVDA,2023,2023-01-29,demand,Data Center segment revenue,15005,Derived from FY2024 press release stated YoY growth (217%)
Nvidia,NVDA,2024,2024-01-28,demand,Data Center segment revenue,47500,Nvidia Q4 FY2024 earnings release
Nvidia,NVDA,2025,2025-01-26,demand,Data Center segment revenue,115190,Nvidia FY2025 10-K / bullfincher.io
Nvidia,NVDA,2026,2026-01-25,demand,Data Center segment revenue,193740,Nvidia Q4 FY2026 earnings release
Oracle,ORCL,2022,2022-05-31,demand,Total revenue,42440,Oracle FY2023 10-K (segment table)
Oracle,ORCL,2022,2022-05-31,supply,Capital expenditures,4511,stockanalysis.com/SEC 10-K
Oracle,ORCL,2023,2023-05-31,demand,Total revenue,49954,Oracle FY2023 10-K (segment table)
Oracle,ORCL,2023,2023-05-31,supply,Capital expenditures,8695,stockanalysis.com/SEC 10-K
Oracle,ORCL,2024,2024-05-31,demand,Total revenue,52960,Oracle FY2024 earnings release
Oracle,ORCL,2024,2024-05-31,supply,Capital expenditures,6866,stockanalysis.com/SEC 10-K
Oracle,ORCL,2025,2025-05-31,demand,Total revenue,57400,Oracle FY2025 Q4/full-year earnings release
Oracle,ORCL,2025,2025-05-31,supply,Capital expenditures,21215,stockanalysis.com/SEC 10-K
Oracle,ORCL,2026,2026-05-31,demand,Total revenue,67400,Oracle FY2026 Q4/full-year earnings release
Oracle,ORCL,2026,2026-05-31,supply,Capital expenditures,55663,stockanalysis.com/SEC 10-K
TSMC,TSM,2021,2021-12-31,demand,Total revenue,56820,TSMC January 2022 monthly revenue report
TSMC,TSM,2021,2021-12-31,supply,Capital expenditures,30000,TSMC investor call/TrendForce
TSMC,TSM,2022,2022-12-31,demand,Total revenue,73740,TSMC 2022 Annual Report / wallstreetzen.com
TSMC,TSM,2022,2022-12-31,supply,Capital expenditures,36290,TSMC 2022 Annual Report
TSMC,TSM,2023,2023-12-31,demand,Total revenue,69300,TSMC 2024 Annual Report (stated 2023 comparison figure)
TSMC,TSM,2023,2023-12-31,supply,Capital expenditures,30450,TrendForce (referencing company guidance/actual)
TSMC,TSM,2024,2024-12-31,demand,Total revenue,90080,TSMC 2024 Annual Report
TSMC,TSM,2024,2024-12-31,supply,Capital expenditures,29954,financecharts.com aggregation of SEC filings
TSMC,TSM,2025,2025-12-31,demand,Total revenue,121400,macrotrends.net aggregation of company filings
TSMC,TSM,2025,2025-12-31,supply,Capital expenditures,40900,TSMC Q4 2025 earnings call (CITIC SEC research note)
